2,2.3204,3.2928,2.9548,2.45,3.5,3.1,2.25,3.05,2.87,52.0,19.0,29.0
1,1.7804,3.7312,4.1692,1.89,3.9,4.6,1.7,3.5,3.85,60.0,21.0,19.0
4,1.8512,3.628,3.9556,2.0,3.87,4.39,1.79,3.3,3.6,58.0,25.0,18.0
3,1.3864,4.796,7.2668,1.45,5.42,8.84,1.33,4.0,6.0,50.0,27.0,23.0
0,1.7916,3.5368,4.4348,1.84,3.75,4.8,1.7,3.3,4.2,68.0,17.0,14.0
3,1.57,4.0232,5.5044,1.65,4.35,6.5,1.52,3.6,4.8,68.0,16.0,16.0
2,2.354,3.2748,2.9648,2.5,3.49,3.11,2.2,3.1,2.8,43.0,35.0,21.0
1,1.5132,4.2636,5.772,1.57,4.54,6.5,1.5,4.0,5.0,69.0,15.0,17.0
0,1.4708,4.2904,6.4688,1.53,4.75,7.5,1.42,4.0,5.7,52.0,22.0,26.0
1,1.224,6.19,11.3368,1.27,6.75,13.31,1.2,5.5,8.6,72.0,11.0,18.0
1,2.3556,3.2944,2.9392,2.45,3.45,3.15,2.2,3.1,2.84,43.0,27.0,30.0
0,1.956,3.4664,3.7104,2.01,3.65,4.0,1.9,3.3,3.4,57.0,26.0,17.0
-1,2.9012,3.3756,2.3412,3.0,3.6,2.45,2.83,3.1,2.15,27.0,29.0,44.0
1,1.5348,4.132,5.7404,1.57,4.6,6.3,1.5,3.65,5.0,68.0,15.0,17.0
0,1.3784,4.7324,7.6032,1.43,5.3,9.0,1.33,4.33,6.5,57.0,25.0,17.0
3,1.9468,3.5072,3.7472,2.1,3.8,4.2,1.8,3.3,3.3,38.0,27.0,35.0
3,1.7716,3.6796,4.2456,1.91,4.0,5.5,1.5,3.45,3.6,58.0,20.0,22.0
1,1.336,4.8668,8.7644,1.37,5.35,10.0,1.3,4.5,7.48,67.0,19.0,14.0
-1,6.3432,4.4676,1.4596,7.41,4.81,1.53,5.5,4.0,1.43,17.0,25.0,58.0
-1,6.4636,4.0612,1.5012,7.75,4.35,1.6,5.6,3.75,1.4,25.0,18.0,58.0
-2,2.4668,3.182,2.8972,2.8,3.35,3.19,2.34,2.97,2.4,29.0,34.0,36.0
0,1.8004,3.7344,4.1092,1.9,3.9,4.35,1.73,3.5,3.75,68.0,17.0,15.0
1,1.492,4.0804,6.606,1.54,4.35,7.5,1.44,3.9,5.8,49.0,31.0,20.0
-1,2.4612,3.4092,2.7196,2.72,3.6,2.88,2.37,3.1,2.5,51.0,18.0,30.0
1,2.4612,3.2608,2.8084,2.65,3.48,3.09,2.35,3.15,2.6,29.0,44.0,27.0
6,1.1836,6.8312,13.6336,1.25,8.0,19.0,1.15,5.5,9.5,79.0,13.0,8.0
1,1.5173076923076923,4.1603846153846154,5.8538461538461538,1.55,4.5,6.5,1.44,3.8,5.2,73.0,15.0,11.0
0,2.5204,3.2736,2.7108,2.75,3.45,2.9,2.4,3.0,2.62,53.0,26.0,21.0
0,3.1172,3.328,2.2216,3.36,3.65,2.4,2.75,3.1,2.1,21.0,19.0,61.0
1,1.408,4.4924,7.1868,1.5,4.87,8.0,1.36,4.0,6.1,67.0,17.0,15.0
2,3.5548,3.4924,1.9944,4.0,3.75,2.1,3.4,3.2,1.85,21.0,17.0,61.0
-1,2.5656,3.1628,2.7716,2.68,3.3,3.02,2.48,3.0,2.6,46.0,19.0,34.0
1,5.9388,4.1932,1.5136,6.5,4.68,1.57,5.25,3.8,1.48,18.0,29.0,53.0
3,1.4832,4.4244,6.0144,1.56,4.8,7.3,1.4,4.2,5.0,60.0,13.0,27.0
0,3.0904,3.3032,2.262,3.25,3.55,2.4,2.85,3.2,2.15,30.0,36.0,34.0
0,1.9276,3.5056,3.8028,2.0,3.65,4.01,1.85,3.35,3.5,55.0,28.0,17.0
-1,1.8324,3.6992,3.9672,1.95,3.95,4.33,1.78,3.5,3.5,34.0,39.0,27.0
0,1.8248,3.6304,4.1156,1.92,3.95,4.68,1.75,3.35,3.8,61.0,17.0,21.0
0,1.4368,4.526,6.6436,1.48,4.89,7.75,1.36,4.0,5.9,73.0,13.0,13.0
