8559,Bolton Wanderers,BOL,Bolton Wanderers,Bolton,Bolton Wanderers,Bolton Wanderers,Bolton Wanderers,,Bolton,BOLTON,Bolton
10194,Stoke City,STK,Stoke City,Stoke City,Stoke City,Stoke City,Stoke City,Stoke,Stoke,STOKE,Stoke City
8667,Hull City,HUL,Hull City,Hull City,Hull City,Hull City,Hull City,Hull,Hull,HULL,Hull City
9879,Fulham,FUL,Fulham FC,Fulham,Fulham,Fulham,Fulham,Fulham,Fulham,FULHAM,Fulham
8455,Chelsea,CHE,Chelsea FC,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea,CHELSEA,Chelsea
8462,Portsmouth,POR,Portsmouth FC,Portsmouth,Portsmouth,Portsmouth,Portsmouth,,Portsmouth,PORTSMOUTH,Portsmouth
8658,Birmingham City,BIR,Birmingham City,Birmingham,Birmingham City,Birmingham City,Birmingham City,,Birmingham,BIRMINGHAM,Birmingham
8602,Wolverhampton Wanderers,WOL,,,,Wolverhampton Wanderers,Wolverhampton,,,WOLVERHAMPTON,
8191,Burnley,BUR,Burnley FC,Burnley,Burnley,Burnley,Burnley,Burnley,Burnley,BURNLEY,Burnley
8483,Blackpool,BLA,Blackpool FC,Blackpool,Blackpool,Blackpool,Blackpool,,Blackpool,BLACKPOOL,Blackpool
10003,Swansea City,SWA,Swansea City,Swansea,Swansea City,Swansea City,Swansea City,Swansea,Swansea,SWANSEA,Swansea
10172,Queens Park Rangers,QPR,Queens Park Rangers,Queens Park,Queens Park,Queens Park Rangers,Queens Park,QPR,QPR,QUEENS PARK,Queen's Park
9850,Norwich City,NOR,Norwich City,Norwich,Norwich City,Norwich City,Norwich City,Norwich,Norwich,NORWICH,Norwich
8466,Southampton,SOU,Southampton FC,Southampton,Southampton,Southampton,Southampton,Southampton,Southampton,SOUTHAMPTON,Southampton
9798,Reading,REA,Reading Lfc,Reading,Reading,Reading,Reading,,Reading,READING,Reading
9826,Crystal Palace,CRY,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace,CRYSTAL PALACE,Crystal Palace
8344,Cardiff City,CAR,Cardiff City,Cardiff,Cardiff City,Cardiff City,Cardiff City,Cardiff,Cardiff,CARDIFF,Cardiff
8197,Leicester City,LEI,Leicester City,Leicester,Leicester City,Leicester City,Leicester City,Leicester,Leicester,LEICESTER,Leicester
8678,Bournemouth,BOU,Bournemouth AFC,Bournemouth,AFC Bournemouth,Bournemouth,Bournemouth AFC,Bournemouth,Bournemouth,BOURNEMOUTH,Bournemouth
9817,Watford,WAT,Watford FC,Watford,Watford,Watford,Watford,Watford,Watford,WATFORD,Watford
8583,AJ Auxerre,AUX,AJ Auxerre,Auxerre,Auxerre,Auxerre,AJ Auxerre,,Auxerre,AUXERRE,Auxerre
9830,FC Nantes,NAN,FC Nantes,Nantes,Nantes,Nantes,Nantes,Nantes,Nantes,NANTES,Nantes
9827,Girondins de Bordeaux,BOR,FC Girondins Bordeaux,Bordeaux,Bordeaux,Bordeaux,Bordeaux,Bordeaux,Bordeaux,BORDEAUX,Bordeaux
7819,SM Caen,CAE,SM Caen,Caen,Caen,Caen,Caen,Caen,Caen,CAEN,Caen
9746,Le Havre AC,LEH,AC Havre,Le Havre,Le Havre,Le Havre,Le Havre,,Le Havre,LE HAVRE,Le Havre
9831,OGC Nice,NIC,OGC Nice,Nice,Nice,Nice,Nice,Nice,Nice,NICE,Nice
